timestamp,hex,flight,alt_baro,gs,track,lat,lon,seen,squawk,category
2025-08-09T19:00:01.600000,4951d8,TAP1337,34925,468.2,208.9,40.369123,-8.292743,0.1,0563,
2025-08-09T19:00:01.600000,4081bd,,35000,420.0,189.7,,,0.2,,
2025-08-09T19:00:01.600000,47a0bf,NOZ69G,34000,455.4,12.3,38.153137,-7.523063,0.1,7767,A3
2025-08-09T19:00:01.600000,48ae83,LOT5JL,15050,383.4,46.5,39.193027,-8.649536,0.1,5442,A3
2025-08-09T19:00:01.600000,4d2124,,32025,422.5,292.3,38.212404,-7.618063,7.6,6474,
2025-08-09T19:00:01.600000,4952c9,TAP5MD,20025,388.3,45.9,39.309906,-8.478758,0.0,5433,A3
2025-08-09T19:00:01.600000,4ca570,,,338.0,90.7,,,11.2,,A3
2025-08-09T19:00:01.600000,3c0936,,33950,467.7,32.6,38.794494,-7.812744,31.7,6202,A3
2025-08-09T19:00:01.600000,4acb02,NSZ6MJ,31100,469.7,12.8,38.709536,-7.828491,6.1,5435,A0
2025-08-09T19:00:01.600000,4952cd,TAP67NP,25275,412.7,24.0,39.576279,-8.260286,0.1,2203,A3
2025-08-09T19:00:01.600000,407f60,EZY29EV,35000,461.5,197.1,39.564423,-8.009391,0.2,5414,A3
2025-08-09T19:00:01.600000,406f86,,,,,,,34.5,,A3
2025-08-09T19:00:01.600000,342591,,25200,463.4,64.4,39.384247,-7.71079,0.3,4415,A3
2025-08-09T19:00:01.600000,4070ef,EXS9CX,35000,458.6,209.5,39.619034,-8.908121,21.3,5244,A3
2025-08-09T19:00:01.600000,440484,,,,,,,239.3,,A3
2025-08-09T19:00:01.600000,3c66b9,,,,,,,217.7,,A3
2025-08-09T19:00:01.600000,405a47,,,487.7,186.0,,,21.6,,
2025-08-09T19:00:01.600000,4408c9,,29625,437.7,44.9,39.855743,-7.797606,1.5,,A3
2025-08-09T19:00:01.600000,407f38,,37050,483.4,201.7,39.286835,-7.381738,6.9,5247,A3
2025-08-09T19:00:01.600000,3455da,,36025,,,,,69.0,,A3
2025-08-09T19:00:01.600000,3c55c7,,36000,463.2,34.4,,,38.1,,A3
2025-08-09T19:00:01.600000,4952ca,TAP1932,12950,344.6,3.3,40.470374,-8.652358,0.1,4402,A3
2025-08-09T19:00:01.600000,4080c2,RUK861,37000,457.2,190.2,39.480789,-8.598294,0.1,5230,A3
2025-08-09T19:00:01.600000,4912d5,RVP954,8000,212.0,31.9,40.062716,-8.451233,15.8,3336,A1
2025-08-09T19:00:01.600000,40757f,,,,,,,213.6,,A3
2025-08-09T19:00:01.600000,4cae91,RYR13QE,34000,454.0,359.4,40.983444,-8.585022,0.7,3337,A3
2025-08-09T19:01:01,407689,EZY19UC,37025,479.9,197.0,39.852766,-7.925293,0.1,5406,A3
2025-08-09T19:01:01,4951d8,TAP1337,33625,467.8,209.0,40.25322,-8.376465,0.1,0563,A3
2025-08-09T19:01:01,4081bd,BAW240F,32950,430.7,190.8,38.260446,-7.610898,0.9,5251,A3
2025-08-09T19:01:01,47a0bf,NOZ69G,34000,451.7,11.9,38.297409,-7.484197,1.3,7767,A3
2025-08-09T19:01:01,48ae83,LOT5JL,17125,393.3,46.6,39.266327,-8.549871,0.2,5442,A3
2025-08-09T19:01:01,4d2124,,,,,,,67.0,,
2025-08-09T19:01:01,4952c9,TAP5MD,21150,401.7,46.0,39.359498,-8.412598,1.1,5433,A3
2025-08-09T19:01:01,4ca570,,,,,,,70.6,,A3
2025-08-09T19:01:01,3c0936,,,,,,,91.1,,A3
2025-08-09T19:01:01,4acb02,,31675,469.7,12.8,38.709536,-7.828491,30.6,5435,A0
2025-08-09T19:01:01,4952cd,TAP67NP,26800,421.3,23.9,39.679172,-8.20105,1.0,2203,A3
2025-08-09T19:01:01,407f60,EZY29EV,35000,464.7,197.1,39.443802,-8.057516,0.1,5414,A3
2025-08-09T19:01:01,406f86,,,,,,,93.9,,A3
2025-08-09T19:01:01,342591,VLG9EA,25575,464.8,64.6,39.402,-7.66272,40.5,4415,A3
2025-08-09T19:01:01,4070ef,,35000,,,,,33.2,5244,A3
2025-08-09T19:01:01,440484,,,,,,,298.7,,A3
2025-08-09T19:01:01,3c66b9,,36025,,,39.293999,-7.398376,0.2,4450,A3
2025-08-09T19:01:01,405a47,,,,,,,81.0,,
2025-08-09T19:01:01,4408c9,EJU67DP,30275,439.8,45.0,39.898107,-7.742737,9.1,5226,A3
2025-08-09T19:01:01,407f38,,37050,,,,,23.3,5247,A3
2025-08-09T19:01:01,3455da,,,,,,,128.4,,A3
2025-08-09T19:01:01,3c55c7,,36000,460.7,34.7,,,1.4,,A3
2025-08-09T19:01:01,4952ca,TAP1932,12000,343.6,3.3,40.56441,-8.645054,0.0,4402,A3
2025-08-09T19:01:01,4080c2,RUK861,37000,457.2,190.2,39.357403,-8.626953,0.0,5230,A3
2025-08-09T19:01:01,4912d5,,7500,212.8,32.7,40.110525,-8.411033,53.6,,A1
2025-08-09T19:01:01,40757f,,,,,,,273.0,,A3
2025-08-09T19:01:01,4cae91,RYR13QE,34000,454.0,359.4,41.024998,-8.585566,39.0,3337,A3
2025-08-09T19:02:01.300000,407689,EZY19UC,37050,479.6,196.8,39.816688,-7.939514,1.9,5406,A3
2025-08-09T19:02:01.300000,4951d8,TAP1337,31200,455.6,208.9,40.140086,-8.457662,0.0,0563,A3
2025-08-09T19:02:01.300000,4081bd,BAW240F,31000,445.6,190.6,38.198502,-7.626557,13.9,5251,A3
2025-08-09T19:02:01.300000,47a0bf,NOZ69G,34000,451.5,11.8,38.36586,-7.465911,17.8,7767,A3
2025-08-09T19:02:01.300000,48ae83,LOT5JL,19225,401.1,46.5,39.3414,-8.447591,0.4,5442,A3
2025-08-09T19:02:01.300000,4d2124,,,,,,,127.3,,
2025-08-09T19:02:01.300000,4952c9,TAP5MD,23525,409.5,46.1,39.414383,-8.339478,0.7,5433,A3
2025-08-09T19:02:01.300000,4ca570,,,,,,,131.0,,A3
2025-08-09T19:02:01.300000,3c0936,,,,,,,151.4,,A3
2025-08-09T19:02:01.300000,4acb02,,,,,,,91.0,,A0
2025-08-09T19:02:01.300000,4952cd,TAP67NP,27900,429.8,23.9,39.766132,-8.151245,10.9,2203,A3
2025-08-09T19:02:01.300000,407f60,EZY29EV,35000,464.7,197.1,39.401442,-8.07428,40.9,5414,A3
2025-08-09T19:02:01.300000,406f86,,,,,,,154.3,,A3
2025-08-09T19:02:01.300000,342591,,,,,,,100.8,,A3
2025-08-09T19:02:01.300000,4070ef,,,,,,,93.6,,A3
2025-08-09T19:02:01.300000,3c66b9,OCN4L,36025,445.5,32.9,39.329425,-7.36908,7.5,4450,A3
2025-08-09T19:02:01.300000,405a47,,,,,,,141.4,,
2025-08-09T19:02:01.300000,4408c9,,31075,,,39.955274,-7.668395,47.9,5226,A3
2025-08-09T19:02:01.300000,407f38,,,,,,,83.6,,A3
2025-08-09T19:02:01.300000,3455da,,,,,,,188.7,,A3
2025-08-09T19:02:01.300000,3c55c7,,36000,,,,,61.7,,A3
2025-08-09T19:02:01.300000,4952ca,TAP1932,10950,335.7,3.6,40.659888,-8.637626,0.1,4402,A3
2025-08-09T19:02:01.300000,4080c2,RUK861,37000,456.9,190.0,39.23291,-8.655614,0.0,5230,A3
2025-08-09T19:02:01.300000,4912d5,,,,,,,114.0,,A1
2025-08-09T19:02:01.300000,4cae91,,,,,,,99.3,,A3
2025-08-09T19:03:00.700000,407689,,37000,469.1,196.9,39.666962,-7.998166,5.1,5406,A3
2025-08-09T19:03:00.700000,4951d8,TAP1337,29025,440.1,192.9,40.030223,-8.527451,0.2,0563,A3
2025-08-09T19:03:00.700000,4081bd,,,,,,,73.3,,A3
2025-08-09T19:03:00.700000,47a0bf,,34000,,,,,53.3,,A3
2025-08-09T19:03:00.700000,48ae83,LOT5JL,21075,411.0,46.7,39.417409,-8.343689,1.2,5442,A3
2025-08-09T19:03:00.700000,4d2124,,,,,,,186.6,,
2025-08-09T19:03:00.700000,4952c9,TAP5MD,25425,422.2,43.8,39.547057,-8.16748,0.1,5433,A3
2025-08-09T19:03:00.700000,4ca570,,,,,,,190.3,,A3
2025-08-09T19:03:00.700000,3c0936,,,,,,,210.8,,A3
2025-08-09T19:03:00.700000,4acb02,,,,,,,49.6,,A0
2025-08-09T19:03:00.700000,4952cd,TAP67NP,29350,440.1,24.0,39.896944,-8.075623,1.0,2203,A3
2025-08-09T19:03:00.700000,407f60,,35025,462.2,197.0,39.255066,-8.132152,28.8,5414,A3
2025-08-09T19:03:00.700000,406f86,,,,,,,213.6,,A3
2025-08-09T19:03:00.700000,342591,,,,,,,160.1,,A3
2025-08-09T19:03:00.700000,4070ef,,,,,,,152.9,,A3
2025-08-09T19:03:00.700000,3c66b9,,,,,,,66.9,,A3
2025-08-09T19:03:00.700000,405a47,,,,,,,200.7,,
2025-08-09T19:03:00.700000,4408c9,,,,,,,107.3,,A3
2025-08-09T19:03:00.700000,407f38,,,,,,,143.0,,A3
2025-08-09T19:03:00.700000,3455da,,,,,,,248.1,,A3
2025-08-09T19:03:00.700000,3c55c7,,,,,,,121.1,,A3
2025-08-09T19:03:00.700000,4952ca,TAP1932,9900,301.5,3.2,40.746662,-8.630759,0.1,4402,A3
2025-08-09T19:03:00.700000,4080c2,RUK861,37000,456.1,190.1,39.111049,-8.683533,1.0,5230,A3
2025-08-09T19:03:00.700000,4912d5,,,,,,,173.3,,A1
2025-08-09T19:03:00.700000,4cae91,,,,,,,158.7,,A3
2025-08-09T19:04:00.500000,4853d2,TRA6780,38000,451.9,28.3,39.182739,-8.816409,0.3,6224,
2025-08-09T19:04:00.500000,4ca225,,,269.8,199.0,,,7.2,,
2025-08-09T19:04:00.500000,495170,RZO174,3400,241.3,71.6,41.047485,-8.772949,15.3,5354,A3
2025-08-09T19:04:00.500000,3c6426,CFG6KF,23550,470.3,13.1,38.6209,-7.878052,0.0,4723,A3
2025-08-09T19:04:00.500000,407689,EZY19UC,37000,471.1,196.8,39.475646,-8.072815,0.1,5406,A3
2025-08-09T19:04:00.500000,4951d8,TAP1337,27925,436.9,206.5,39.921112,-8.583905,0.4,0563,A3
2025-08-09T19:04:00.500000,4081bd,,,,,,,133.1,,A3
2025-08-09T19:04:00.500000,47a0bf,,,,,,,113.1,,A3
2025-08-09T19:04:00.500000,48ae83,LOT5JL,22775,421.6,46.7,39.496902,-8.23479,0.2,5442,A3
2025-08-09T19:04:00.500000,4d2124,,,,,,,246.5,,
2025-08-09T19:04:00.500000,4952c9,TAP5MD,26800,427.8,44.1,39.605347,-8.094715,2.2,5433,A3
2025-08-09T19:04:00.500000,4ca570,,,,,,,250.2,,A3
2025-08-09T19:04:00.500000,3c0936,,33975,,,,,1.4,,A3
2025-08-09T19:04:00.500000,4acb02,,,,,,,109.4,,A0
2025-08-09T19:04:00.500000,4952cd,TAP67NP,30325,445.4,24.0,39.919144,-8.062771,10.0,2203,A3
2025-08-09T19:04:00.500000,407f60,EZY29EV,34975,461.2,197.0,39.07539,-8.203003,0.1,5414,A3
2025-08-09T19:04:00.500000,406f86,,,,,,,273.5,,A3
2025-08-09T19:04:00.500000,342591,,,,,,,220.0,,A3
2025-08-09T19:04:00.500000,4070ef,,,,,,,212.8,,A3
2025-08-09T19:04:00.500000,3c66b9,,35975,,,,,49.2,,A3
2025-08-09T19:04:00.500000,405a47,,,,,,,260.6,,
2025-08-09T19:04:00.500000,4408c9,,,,,,,167.1,,A3
